"Date","Type","Calls"
2019-01-02,"SevenDayAverage",300.295944795005
2019-01-02,"Baseline",303.616186813215
2019-01-03,"SevenDayAverage",300.806826400043
2019-01-03,"Baseline",303.893831691964
2019-01-04,"SevenDayAverage",301.317708005081
2019-01-04,"Baseline",304.171476570713
2019-01-05,"SevenDayAverage",301.828589610119
2019-01-05,"Baseline",304.449121449462
2019-01-06,"SevenDayAverage",296.278321959564
2019-01-06,"Baseline",304.431087681965
2019-01-07,"SevenDayAverage",290.728054309008
2019-01-07,"Baseline",304.413053914469
2019-01-08,"SevenDayAverage",289.331470512621
2019-01-08,"Baseline",304.404037030721
2019-01-09,"SevenDayAverage",292.488366046179
2019-01-09,"Baseline",304.911913007842
2019-01-10,"SevenDayAverage",295.645261579736
2019-01-10,"Baseline",305.419788984964
2019-01-11,"SevenDayAverage",294.852652451363
2019-01-11,"Baseline",305.93217340396
2019-01-12,"SevenDayAverage",294.06004332299
2019-01-12,"Baseline",306.444557822956
2019-01-13,"SevenDayAverage",293.267434194617
2019-01-13,"Baseline",306.956942241952
2019-01-14,"SevenDayAverage",291.701301675139
2019-01-14,"Baseline",306.941914102372
2019-01-15,"SevenDayAverage",290.13516915566
2019-01-15,"Baseline",306.926885962791
2019-01-16,"SevenDayAverage",288.569036636181
2019-01-16,"Baseline",306.911857823211
2019-01-17,"SevenDayAverage",288.261034915479
2019-01-17,"Baseline",306.752747395402
2019-01-18,"SevenDayAverage",287.953033194778
2019-01-18,"Baseline",306.593636967594
2019-01-19,"SevenDayAverage",287.645031474076
2019-01-19,"Baseline",306.434526539786
2019-01-20,"SevenDayAverage",288.679268040004
2019-01-20,"Baseline",305.324604505896
2019-01-21,"SevenDayAverage",289.713504605931
2019-01-21,"Baseline",304.214682472007
2019-01-22,"SevenDayAverage",292.587072745461
2019-01-22,"Baseline",304.205665588259
2019-01-23,"SevenDayAverage",293.666337374606
2019-01-23,"Baseline",303.316375428585
2019-01-24,"SevenDayAverage",294.745602003752
2019-01-24,"Baseline",302.427085268911
2019-01-25,"SevenDayAverage",294.83250091319
2019-01-25,"Baseline",295.785721628247
2019-01-26,"SevenDayAverage",294.919399822627
2019-01-26,"Baseline",289.144357987584
2019-01-27,"SevenDayAverage",299.805973683049
2019-01-27,"Baseline",288.94692065989
2019-01-28,"SevenDayAverage",304.69254754347
2019-01-28,"Baseline",288.749483332196
2019-01-29,"SevenDayAverage",309.579121403892
2019-01-29,"Baseline",288.552046004503
2019-01-30,"SevenDayAverage",313.405892639419
2019-01-30,"Baseline",299.03019973884
2019-01-31,"SevenDayAverage",314.30396486816
2019-01-31,"Baseline",298.094979827574
2019-02-01,"SevenDayAverage",315.202037096901
2019-02-01,"Baseline",297.159759916307
2019-02-02,"SevenDayAverage",318.026294153433
2019-02-02,"Baseline",297.501048966179
2019-02-03,"SevenDayAverage",313.13299330238
2019-02-03,"Baseline",285.590486089096
2019-02-04,"SevenDayAverage",312.460246956318
2019-02-04,"Baseline",296.159223953388
2019-02-05,"SevenDayAverage",307.762488093814
2019-02-05,"Baseline",296.15020706964
2019-02-06,"SevenDayAverage",306.963254060576
2019-02-06,"Baseline",295.260916909966
2019-02-07,"SevenDayAverage",306.164020027338
2019-02-07,"Baseline",294.371626750292
2019-02-08,"SevenDayAverage",302.984996855193
2019-02-08,"Baseline",289.092588445072
2019-02-09,"SevenDayAverage",299.805973683049
2019-02-09,"Baseline",283.813550139851
2019-02-10,"SevenDayAverage",293.422072349298
2019-02-10,"Baseline",286.142680355226
2019-02-11,"SevenDayAverage",287.038171015548
2019-02-11,"Baseline",288.4718105706
2019-02-12,"SevenDayAverage",280.654269681797
2019-02-12,"Baseline",290.800940785974
2019-02-13,"SevenDayAverage",280.012739974269
2019-02-13,"Baseline",286.418777488291
2019-02-14,"SevenDayAverage",279.371210266741
2019-02-14,"Baseline",282.036614190607
2019-02-15,"SevenDayAverage",278.539331420877
2019-02-15,"Baseline",289.013343582877
2019-02-16,"SevenDayAverage",279.748720953615
2019-02-16,"Baseline",288.661622499446
2019-02-17,"SevenDayAverage",280.958110486353
2019-02-17,"Baseline",288.309901416015
2019-02-18,"SevenDayAverage",282.167500019091
2019-02-18,"Baseline",287.958180332584
2019-02-19,"SevenDayAverage",281.803368197056
2019-02-19,"Baseline",287.43965942326
